state,date,policy_detail
Colorado,2020-01-01,
Colorado,2020-01-02,
Colorado,2020-01-03,
Colorado,2020-01-04,
Colorado,2020-01-05,
Colorado,2020-01-06,
Colorado,2020-01-07,
Colorado,2020-01-08,
Colorado,2020-01-09,
Colorado,2020-01-10,
Colorado,2020-01-11,
Colorado,2020-01-12,
Colorado,2020-01-13,
Colorado,2020-01-14,
Colorado,2020-01-15,
Colorado,2020-01-16,
Colorado,2020-01-17,
Colorado,2020-01-18,
Colorado,2020-01-19,
Colorado,2020-01-20,
Colorado,2020-01-21,
Colorado,2020-01-22,
Colorado,2020-01-23,
Colorado,2020-01-24,
Colorado,2020-01-25,
Colorado,2020-01-26,
Colorado,2020-01-27,
Colorado,2020-01-28,
Colorado,2020-01-29,
Colorado,2020-01-30,
Colorado,2020-01-31,
Colorado,2020-02-01,
Colorado,2020-02-02,
Colorado,2020-02-03,
Colorado,2020-02-04,
Colorado,2020-02-05,
Colorado,2020-02-06,
Colorado,2020-02-07,
Colorado,2020-02-08,
Colorado,2020-02-09,
Colorado,2020-02-10,
Colorado,2020-02-11,
Colorado,2020-02-12,
Colorado,2020-02-13,
Colorado,2020-02-14,
Colorado,2020-02-15,
Colorado,2020-02-16,
Colorado,2020-02-17,
Colorado,2020-02-18,
Colorado,2020-02-19,
Colorado,2020-02-20,
Colorado,2020-02-21,
Colorado,2020-02-22,
Colorado,2020-02-23,
Colorado,2020-02-24,
Colorado,2020-02-25,
Colorado,2020-02-26,
Colorado,2020-02-27,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced today."
Colorado,2020-02-28,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 1 day ago."
Colorado,2020-02-29,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 2 days ago."
Colorado,2020-03-01,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 3 days ago."
Colorado,2020-03-02,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 4 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced today."
Colorado,2020-03-03,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 5 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 1 day ago."
Colorado,2020-03-04,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 6 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 2 days ago."
Colorado,2020-03-05,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 7 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 3 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced today."
Colorado,2020-03-06,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 8 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 4 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 1 day ago."
Colorado,2020-03-07,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 9 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 5 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 2 days ago."
Colorado,2020-03-08,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 10 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 6 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 3 days ago."
Colorado,2020-03-09,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 11 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 7 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 4 days ago."
Colorado,2020-03-10,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 12 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 8 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 5 days ago."
