city,model,date,repeat_index,poi,whisker_low,q25,median,q75,whisker_high,iqr,reordered,clipped,whisker_outside_fence
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-02,0,Restaurants_and_Bars,-0.42,-0.28,-0.16,-0.05,0.08,0.23000000000000004,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-02,0,Retail,-0.32,-0.2,-0.09,0.01,0.12,0.21000000000000002,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-02,0,Arts_and_Entertainment,-0.55,-0.38,-0.22,-0.08,0.05,0.3,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-02,0,Educational_Settings,-0.38,-0.24,-0.11,0.0,0.11,0.24,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-09,0,Restaurants_and_Bars,-0.42,-0.28,-0.18,-0.07,0.05,0.21000000000000002,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-09,0,Retail,-0.25,-0.15,-0.08,-0.02,0.08,0.13,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-09,0,Arts_and_Entertainment,-0.55,-0.38,-0.24,-0.1,0.02,0.28,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-09,0,Educational_Settings,-0.2,-0.12,-0.05,0.02,0.1,0.13999999999999999,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-16,0,Restaurants_and_Bars,-0.75,-0.55,-0.35,-0.2,-0.05,0.35000000000000003,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-16,0,Retail,-0.6,-0.4,-0.2,-0.05,0.05,0.35000000000000003,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-16,0,Arts_and_Entertainment,-0.9,-0.7,-0.5,-0.3,-0.1,0.39999999999999997,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-16,0,Educational_Settings,-0.95,-0.8,-0.65,-0.45,-0.2,0.35000000000000003,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-23,0,Restaurants_and_Bars,-0.88,-0.72,-0.58,-0.38,-0.12,0.33999999999999997,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-23,0,Retail,-0.65,-0.48,-0.32,-0.15,0.05,0.32999999999999996,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-23,0,Arts_and_Entertainment,-0.97,-0.88,-0.78,-0.62,-0.35,0.26,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-23,0,Educational_Settings,-0.95,-0.85,-0.72,-0.55,-0.25,0.29999999999999993,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-30,0,Restaurants_and_Bars,-0.92,-0.78,-0.62,-0.43,-0.18,0.35000000000000003,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-30,0,Retail,-0.71,-0.54,-0.38,-0.22,0.04,0.32000000000000006,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-30,0,Arts_and_Entertainment,-0.96,-0.88,-0.78,-0.6,-0.32,0.28,False,False,False
san_antonio,Grok-4.1-Fast-Reasoning,2020-03-30,0,Educational_Settings,-0.98,-0.93,-0.87,-0.71,-0.48,0.22000000000000008,False,False,False
